Đặc trưng,Độ quan trọng
Average Packet Size,0.133824778065938
Packet Length Std,0.1263421132086733
Destination Port,0.10054003675140179
Packet Length Mean,0.08075863217845003
Total Length of Bwd Packets,0.07459635452742085
Total Length of Fwd Packets,0.06922604341706012
Init_Win_bytes_forward,0.06463351305294994
Init_Win_bytes_backward,0.05720918083453871
Flow Packets/s,0.04641471902813494
Total Backward Packets,0.04033286097558231
Total Fwd Packets,0.03873385890387571
Flow Duration,0.03745979888038587
Idle Mean,0.035573380532265664
Flow Bytes/s,0.026736509594203362
Protocol,0.018423513984123507
PSH Flag Count,0.01798006287241734
ACK Flag Count,0.013057953946359826
URG Flag Count,0.009512150705670122
Active Mean,0.005130239378437242
FIN Flag Count,0.0018422043864042494
